"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Ivica Zubac","Lac","C","27.1","66","26.6","16.3","13.2","165","0.721","500","0.648","0","0","0.648","0.67","11.6","9.3","1.4","0.3","1.2","1.2","20.9","13","22.3","8","132.1","106"
"","Cole Anthony","Orl","G","23.9","77","22.6","23.6","14","213","0.822","461","0.488","267","0.333","0.492","0.543","11.6","3.9","2.9","0.8","0.5","1.5","15.5","14.5","18.4","9","109.9","103.9"
"","Jeremy Sochan","San","G","20.9","74","29.6","18.8","15.3","144","0.771","549","0.492","227","0.308","0.483","0.513","11.6","6.4","3.4","0.8","0.5","1.9","18.1","15","21.4","8.5","103.7","112.6"
"","Clint Capela","Atl","C","29.9","70","25.7","17.4","10.8","202","0.634","591","0.57","1","0","0.569","0.589","11.5","10.7","1.2","0.6","1.5","1","22.1","12.7","23.4","8.2","126.1","110.8"
"","De'Anthony Melton","Phi","G","25.9","36","27.8","18.2","10.1","79","0.835","141","0.433","207","0.362","0.499","0.54","11.5","3.8","3.1","1.6","0.4","1.1","15.3","14.5","18.3","7.4","113.8","109.2"
"","Scotty Pippen Jr.","Mem","G","23.4","17","23.8","21.5","23.5","43","0.721","87","0.517","53","0.472","0.589","0.617","11.5","2.8","4.4","1.5","0.5","2.5","14.4","15.9","18.7","8.8","111.3","105.7"
"","Tre Mann","Cha","G","23.2","24","30.9","17.7","17.6","45","0.756","138","0.529","91","0.352","0.528","0.555","11.5","4.6","4.9","1.6","0.1","2","16.1","16.4","21","8.3","108.8","115.9"
"","Malik Beasley","Mil","G","27.4","75","29.8","14.6","7","35","0.714","170","0.518","520","0.419","0.601","0.606","11.4","3.7","1.4","0.8","0.1","0.7","15.1","12.8","16.5","5.2","117.6","112.8"
"","Wendell Carter Jr.","Orl","C","25","51","26.4","17.1","13.9","132","0.689","241","0.627","162","0.377","0.602","0.625","11.3","7.3","1.8","0.7","0.5","1.3","18.5","13.1","20.4","8","122.2","104.3"
"","Lamar Stevens","Mem","F","26.7","18","22.2","22.8","7.1","37","0.757","149","0.497","33","0.273","0.481","0.512","11.3","5","0.9","0.9","0.7","0.8","16.3","12.2","17.2","6.7","104.2","109.1"
"","Mike Conley","Min","G","36.5","72","28.8","15.8","13.2","106","0.906","227","0.48","376","0.434","0.586","0.618","11.2","2.8","6","1.2","0.2","1.3","14","17.2","20","8","129.4","107.3"
"","Eric Gordon","Pho","G","35.3","65","28","16.4","10.7","63","0.794","215","0.558","379","0.383","0.568","0.583","11.2","1.9","2.1","0.9","0.4","1.1","13","13.2","15.1","5.1","112.9","116.1"
"","Russell Westbrook","Lac","G","35.4","66","22.4","25.3","17.7","158","0.696","492","0.512","150","0.267","0.486","0.516","11.1","5","4.4","1.1","0.3","2.1","16.1","15.5","20.5","11.2","107.2","109.1"
"","Jusuf Nurkic","Pho","C","29.6","73","27.3","19.4","21.2","254","0.638","528","0.551","89","0.247","0.525","0.556","11.1","11","3.8","1","1","2.3","22.1","14.9","25.9","11.3","113.2","100.1"
"","Jakob Poeltl","Tor","C","28.5","50","26.4","16.3","16.9","107","0.551","378","0.656","0","0","0.656","0.653","11.1","8.6","2.5","0.7","1.5","1.5","19.7","13.6","22.2","9.4","123.8","107.7"
"","Zach Collins","San","C","26.4","65","22.3","22.3","17.8","151","0.742","404","0.554","170","0.312","0.529","0.561","11.1","5.2","2.8","0.5","0.7","1.9","16.3","13.9","19.1","9.8","107.4","106.2"
"","Luke Kennard","Mem","G","27.8","39","25.6","16.7","14.6","45","0.889","77","0.442","238","0.45","0.617","0.641","11","2.9","3.5","0.5","0.1","1.4","13.9","14.5","17.4","7.5","121.1","116.2"
"","Herbert Jones","Nor","G","25.5","72","30.3","14.1","13.6","150","0.867","300","0.577","253","0.419","0.6","0.641","11","3.5","2.6","1.4","0.8","1.2","14.5","13.6","17.1","6.1","124.8","106.6"
"","Javonte Green","Chi","G","30.7","5","21.2","16.4","13.4","6","0.833","22","0.727","10","0.6","0.781","0.794","11","6.4","0.8","1","1.2","1","17.4","11.8","18.2","7.2","140","109.1"
"","Luguentz Dort","Okc","F","25","76","28.6","15.4","10.5","149","0.826","254","0.504","379","0.393","0.555","0.591","10.9","3.7","1.4","0.9","0.6","1","14.5","12.3","15.9","5.4","116.2","108.3"
"","Daniel Gafford","Was","C","25.5","45","26.5","13.9","13.5","119","0.706","294","0.69","0","0","0.69","0.707","10.9","8","1.5","1","2.2","1","18.9","12.4","20.4","7.7","137","108.4"
"","Isaiah Stewart","Det","F","22.9","46","30.9","14.5","14.7","85","0.753","207","0.575","175","0.383","0.575","0.6","10.9","6.6","1.6","0.4","0.8","1.4","17.6","12.5","19.2","6.3","113.4","115.5"
"","Moritz Wagner","Orl","F-C","27","76","17.6","22.9","14.8","197","0.807","412","0.67","112","0.33","0.633","0.673","10.8","4.4","1.2","0.5","0.3","1.2","15.2","12","16.4","8.7","125.6","102"
"","Daniel Gafford","Dal","F-C","25.5","26","21.5","16.2","13.2","52","0.615","164","0.756","0","0","0.756","0.749","10.8","7.2","1.6","0.7","1.9","1","18","12.3","19.5","9.3","142.6","101.3"
"","Brandon Clarke","Mem","F","27.5","5","21.5","21.3","6","7","0.143","42","0.595","5","0.2","0.564","0.539","10.8","6.2","1.8","0.8","1","0.6","17","12.6","18.8","9.2","114.2","110.1"
"","Santi Aldama","Mem","F-C","23.2","61","26.5","18","10.8","87","0.621","264","0.534","304","0.349","0.528","0.539","10.7","5.8","2.3","0.7","0.9","1.1","16.5","13","18.8","7.9","108.5","111.8"
"","Jaden McDaniels","Min","F","23.5","68","29.2","15.9","12.3","75","0.72","361","0.593","239","0.335","0.557","0.57","10.6","3.1","1.4","0.9","0.6","1.2","13.8","12","15.1","4.9","107.5","102.8"
"","Bojan Bogdanovic","Nyk","F","35","25","19.5","24.3","13.6","41","0.805","113","0.504","109","0.358","0.52","0.55","10.6","2.1","0.9","0.2","0","1.4","12.6","11.5","13.6","5.6","103.3","110.3"
"","Reggie Jackson","Den","G","34","78","22.2","21.6","12.4","93","0.796","449","0.479","267","0.367","0.506","0.527","10.2","1.9","3.8","0.5","0.1","1.3","12.1","14","15.9","7.6","109.5","111.2"
"","Kentavious Caldwell-Pope","Den","G","31.1","72","31.8","13","11.4","112","0.902","266","0.504","295","0.414","0.565","0.602","10.2","2.4","2.4","1.3","0.5","1","12.6","12.6","15","4.9","118.8","112.2"
"","Marvin Bagley III","Det","F","25.1","26","18.4","21.1","13.8","61","0.82","175","0.606","6","0.167","0.594","0.638","10.2","4.5","1","0.2","0.5","1.1","14.7","11.2","15.8","7.8","121.1","114.3"
"","Kevin Huerter","Sac","G","25.6","64","24.4","17.3","8.6","47","0.766","219","0.571","341","0.361","0.553","0.564","10.2","3.5","2.6","0.7","0.4","0.8","13.7","12.8","16.3","7.4","115.9","110.4"
